0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:01 -0300] "GET /Projeto_Java_SQL/js/prefixfree.min.js HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:04 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:04 -0300] "GET /Projeto_Java_SQL/js/index.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:04 -0300] "GET /Projeto_Java_SQL/js/login.html HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:04 -0300] "GET /Projeto_Java_SQL/js/login.html HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:04 -0300] "GET /Projeto_Java_SQL/js/index.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:04 -0300] "GET /Projeto_Java_SQL/js/login.html HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:08 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=cad HTTP/1.1" 200 7731
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:20 -0300] "POST /Projeto_Java_SQL/usucontroller.do HTTP/1.1" 200 6745
0:0:0:0:0:0:0:1 - - [05/Sep/2014:19:56:58 -0300] "GET /Projeto_Java_SQL/autcontroller.do HTTP/1.1" 302 -
